Route_ID,Bus_ID,Date,Time,Passenger_Count,Bus_Capacity,Traffic_Level,Load_Percentage,Load_Status,Recommendation,Cluster,Demand_Level
R4,B107,2026-09-10,19:00,41,60,Medium,68.33333333333333,Normal,No action required,2,Medium Demand
R2,B115,2026-09-03,07:30,70,60,Low,116.66666666666667,Overloaded,Add additional bus immediately,1,High Demand
R1,B103,2026-09-04,18:30,49,45,High,108.88888888888889,Overloaded,Add additional bus immediately,1,High Demand
R3,B113,2026-09-09,13:00,27,40,Low,67.5,Normal,No action required,2,Medium Demand
R8,B110,2026-09-13,02:00,31,55,Medium,56.36363636363636,Normal,No action required,2,Medium Demand
R1,B119,2026-09-02,12:30,24,60,Medium,40.0,Low Load,Reduce bus frequency,0,Low Demand
R10,B116,2026-09-12,13:00,51,60,Low,85.0,High Load,Consider adding a bus,1,High Demand
R10,B103,2026-09-09,20:00,50,45,Medium,111.11111111111111,Overloaded,Add additional bus immediately,1,High Demand
R4,B119,2026-09-02,01:30,27,60,Medium,45.0,Low Load,Reduce bus frequency,0,Low Demand
R5,B107,2026-09-06,07:30,34,50,Medium,68.0,Normal,No action required,2,Medium Demand
R5,B115,2026-09-02,18:30,45,50,Low,90.0,High Load,Consider adding a bus,1,High Demand
R9,B107,2026-09-06,21:00,24,60,Low,40.0,Low Load,Reduce bus frequency,0,Low Demand
R2,B108,2026-09-07,07:00,53,50,Medium,106.0,Overloaded,Add additional bus immediately,1,High Demand
R9,B101,2026-09-07,14:30,12,60,High,20.0,Low Load,Reduce bus frequency,0,Low Demand
R3,B109,2026-09-03,12:00,17,40,Medium,42.5,Low Load,Reduce bus frequency,0,Low Demand
R6,B107,2026-09-12,00:00,42,50,Low,84.0,High Load,Consider adding a bus,2,Medium Demand
R1,B103,2026-09-07,03:00,35,55,Low,63.63636363636363,Normal,No action required,2,Medium Demand
R3,B115,2026-09-10,08:00,56,60,High,93.33333333333333,High Load,Consider adding a bus,1,High Demand
R3,B118,2026-09-09,02:30,19,40,Medium,47.5,Low Load,Reduce bus frequency,0,Low Demand
R1,B112,2026-09-06,13:00,26,45,Medium,57.77777777777777,Normal,No action required,2,Medium Demand
R9,B114,2026-09-04,12:30,23,60,High,38.333333333333336,Low Load,Reduce bus frequency,0,Low Demand
R3,B114,2026-09-05,01:00,26,40,Medium,65.0,Normal,No action required,2,Medium Demand
R7,B108,2026-09-04,15:00,24,50,Medium,48.0,Low Load,Reduce bus frequency,0,Low Demand
R4,B107,2026-09-08,16:30,36,55,Low,65.45454545454545,Normal,No action required,2,Medium Demand
R4,B108,2026-09-05,08:00,38,40,Medium,95.0,High Load,Consider adding a bus,1,High Demand
R6,B117,2026-09-12,16:00,17,55,Low,30.909090909090907,Low Load,Reduce bus frequency,0,Low Demand
R5,B106,2026-09-06,21:00,30,60,Low,50.0,Normal,No action required,0,Low Demand
R7,B120,2026-09-03,16:30,45,60,Low,75.0,Normal,No action required,2,Medium Demand
R5,B102,2026-09-01,06:00,35,55,Medium,63.63636363636363,Normal,No action required,2,Medium Demand
R4,B112,2026-09-02,17:00,55,55,High,100.0,High Load,Consider adding a bus,1,High Demand
R10,B111,2026-09-07,15:00,24,40,Medium,60.0,Normal,No action required,0,Low Demand
R9,B105,2026-09-10,04:30,23,45,Medium,51.11111111111111,Normal,No action required,0,Low Demand
R3,B120,2026-09-07,15:30,49,60,Low,81.66666666666667,High Load,Consider adding a bus,1,High Demand
R10,B120,2026-09-11,03:30,35,50,Low,70.0,Normal,No action required,2,Medium Demand
R9,B116,2026-09-03,00:30,26,45,Low,57.77777777777777,Normal,No action required,2,Medium Demand
R4,B110,2026-09-05,11:00,12,45,Low,26.666666666666668,Low Load,Reduce bus frequency,0,Low Demand
R8,B120,2026-09-10,22:30,27,40,Low,67.5,Normal,No action required,2,Medium Demand
R8,B113,2026-09-04,09:00,36,45,High,80.0,High Load,Consider adding a bus,2,Medium Demand
R2,B114,2026-09-04,23:30,26,45,Medium,57.77777777777777,Normal,No action required,2,Medium Demand
R2,B115,2026-09-11,03:00,39,45,Medium,86.66666666666667,High Load,Consider adding a bus,2,Medium Demand
R10,B111,2026-09-14,07:00,55,55,High,100.0,High Load,Consider adding a bus,1,High Demand
R8,B106,2026-09-10,19:30,48,55,Medium,87.27272727272727,High Load,Consider adding a bus,1,High Demand
R5,B117,2026-09-14,14:00,25,55,Low,45.45454545454545,Low Load,Reduce bus frequency,0,Low Demand
R6,B111,2026-09-02,22:30,21,60,Low,35.0,Low Load,Reduce bus frequency,0,Low Demand
R3,B107,2026-09-10,01:30,24,40,Low,60.0,Normal,No action required,0,Low Demand
R7,B113,2026-09-01,15:30,48,60,Medium,80.0,High Load,Consider adding a bus,1,High Demand
R7,B116,2026-09-08,17:30,43,40,Medium,107.5,Overloaded,Add additional bus immediately,1,High Demand
R9,B118,2026-09-05,22:00,18,60,Low,30.0,Low Load,Reduce bus frequency,0,Low Demand
R8,B101,2026-09-08,09:30,57,55,High,103.63636363636364,Overloaded,Add additional bus immediately,1,High Demand
R3,B120,2026-09-01,19:00,57,60,High,95.0,High Load,Consider adding a bus,1,High Demand
R1,B103,2026-09-04,02:30,24,55,Medium,43.63636363636363,Low Load,Reduce bus frequency,0,Low Demand
R8,B111,2026-09-09,07:30,59,50,Medium,118.0,Overloaded,Add additional bus immediately,1,High Demand
R7,B109,2026-09-11,06:00,29,40,Low,72.5,Normal,No action required,2,Medium Demand
R2,B102,2026-09-06,12:00,10,40,Low,25.0,Low Load,Reduce bus frequency,0,Low Demand
R3,B108,2026-09-11,07:30,47,45,High,104.44444444444446,Overloaded,Add additional bus immediately,1,High Demand
R6,B106,2026-09-14,04:00,45,60,High,75.0,Normal,No action required,2,Medium Demand
R3,B110,2026-09-13,13:30,17,40,Low,42.5,Low Load,Reduce bus frequency,0,Low Demand
R7,B107,2026-09-13,20:30,21,40,Medium,52.5,Normal,No action required,0,Low Demand
R2,B110,2026-09-03,19:00,61,60,High,101.66666666666666,Overloaded,Add additional bus immediately,1,High Demand
R6,B103,2026-09-15,01:00,47,60,Low,78.33333333333333,Normal,No action required,1,High Demand
R8,B104,2026-09-08,22:30,40,55,Medium,72.72727272727273,Normal,No action required,2,Medium Demand
R9,B109,2026-09-12,17:00,48,60,High,80.0,High Load,Consider adding a bus,1,High Demand
R10,B109,2026-09-06,11:00,17,50,Medium,34.0,Low Load,Reduce bus frequency,0,Low Demand
R8,B119,2026-09-09,07:30,54,60,Medium,90.0,High Load,Consider adding a bus,1,High Demand
R6,B106,2026-09-05,18:00,44,55,Medium,80.0,High Load,Consider adding a bus,2,Medium Demand
R5,B118,2026-09-12,06:00,14,40,High,35.0,Low Load,Reduce bus frequency,0,Low Demand
R7,B116,2026-09-06,08:30,59,60,High,98.33333333333333,High Load,Consider adding a bus,1,High Demand
R2,B110,2026-09-09,20:30,20,45,Medium,44.44444444444444,Low Load,Reduce bus frequency,0,Low Demand
R10,B112,2026-09-13,00:30,28,55,Medium,50.90909090909091,Normal,No action required,0,Low Demand
R8,B109,2026-09-06,14:00,31,50,Low,62.0,Normal,No action required,2,Medium Demand
R6,B104,2026-09-05,04:00,41,60,Low,68.33333333333333,Normal,No action required,2,Medium Demand
R9,B120,2026-09-03,08:30,43,50,High,86.0,High Load,Consider adding a bus,1,High Demand
R6,B106,2026-09-01,12:30,17,50,Medium,34.0,Low Load,Reduce bus frequency,0,Low Demand
R5,B105,2026-09-03,10:00,50,55,High,90.9090909090909,High Load,Consider adding a bus,1,High Demand
R8,B116,2026-09-08,11:30,19,55,Low,34.54545454545455,Low Load,Reduce bus frequency,0,Low Demand
R2,B113,2026-09-02,19:00,54,55,High,98.18181818181819,High Load,Consider adding a bus,1,High Demand
R3,B105,2026-09-07,17:00,51,60,Low,85.0,High Load,Consider adding a bus,1,High Demand
R10,B120,2026-09-12,09:00,49,45,Medium,108.88888888888889,Overloaded,Add additional bus immediately,1,High Demand
R5,B119,2026-09-07,17:30,39,55,High,70.9090909090909,Normal,No action required,2,Medium Demand
R4,B107,2026-09-02,23:00,17,50,Low,34.0,Low Load,Reduce bus frequency,0,Low Demand
R2,B106,2026-09-09,22:30,24,40,Low,60.0,Normal,No action required,0,Low Demand
R5,B115,2026-09-06,05:00,29,40,High,72.5,Normal,No action required,2,Medium Demand
R10,B107,2026-09-03,16:00,40,55,Medium,72.72727272727273,Normal,No action required,2,Medium Demand
R2,B102,2026-09-07,18:30,45,45,High,100.0,High Load,Consider adding a bus,1,High Demand
R5,B115,2026-09-11,05:00,28,40,Medium,70.0,Normal,No action required,2,Medium Demand
R8,B115,2026-09-13,23:30,19,40,Low,47.5,Low Load,Reduce bus frequency,0,Low Demand
R6,B120,2026-09-01,18:30,59,50,Low,118.0,Overloaded,Add additional bus immediately,1,High Demand
R1,B109,2026-09-02,02:00,23,60,Medium,38.333333333333336,Low Load,Reduce bus frequency,0,Low Demand
R9,B115,2026-09-05,02:00,26,50,High,52.0,Normal,No action required,0,Low Demand
R8,B112,2026-09-08,08:00,34,55,Medium,61.81818181818181,Normal,No action required,2,Medium Demand
R3,B111,2026-09-11,19:00,68,55,Medium,123.63636363636363,Overloaded,Add additional bus immediately,1,High Demand
R8,B103,2026-09-06,14:30,38,50,Low,76.0,Normal,No action required,2,Medium Demand
R7,B117,2026-09-12,19:00,28,40,High,70.0,Normal,No action required,2,Medium Demand
R8,B115,2026-09-05,13:30,13,40,Low,32.5,Low Load,Reduce bus frequency,0,Low Demand
R5,B115,2026-09-03,19:30,53,55,Low,96.36363636363636,High Load,Consider adding a bus,1,High Demand
R5,B118,2026-09-13,00:00,9,40,Low,22.5,Low Load,Reduce bus frequency,0,Low Demand
R2,B115,2026-09-15,01:00,21,40,Medium,52.5,Normal,No action required,0,Low Demand
R5,B114,2026-09-11,07:00,46,55,Medium,83.63636363636363,High Load,Consider adding a bus,1,High Demand
R7,B107,2026-09-12,01:30,29,60,Medium,48.333333333333336,Low Load,Reduce bus frequency,0,Low Demand
R7,B111,2026-09-06,22:00,32,60,Medium,53.333333333333336,Normal,No action required,2,Medium Demand
R5,B119,2026-09-11,16:00,25,60,Medium,41.66666666666667,Low Load,Reduce bus frequency,0,Low Demand
R9,B113,2026-09-08,02:00,44,55,Medium,80.0,High Load,Consider adding a bus,2,Medium Demand
R4,B119,2026-09-06,05:00,26,55,Medium,47.27272727272727,Low Load,Reduce bus frequency,0,Low Demand
R7,B113,2026-09-11,19:00,41,45,High,91.11111111111111,High Load,Consider adding a bus,1,High Demand
R10,B111,2026-09-10,14:30,34,40,Low,85.0,High Load,Consider adding a bus,2,Medium Demand
R3,B103,2026-09-06,21:00,41,55,Low,74.54545454545455,Normal,No action required,2,Medium Demand
R2,B111,2026-09-09,08:00,62,60,High,103.33333333333334,Overloaded,Add additional bus immediately,1,High Demand
R9,B102,2026-09-02,16:30,34,60,Low,56.666666666666664,Normal,No action required,2,Medium Demand
R5,B108,2026-09-10,11:30,26,40,High,65.0,Normal,No action required,2,Medium Demand
R3,B110,2026-09-02,05:00,13,40,Low,32.5,Low Load,Reduce bus frequency,0,Low Demand
R6,B112,2026-09-04,08:00,48,55,Medium,87.27272727272727,High Load,Consider adding a bus,1,High Demand
R3,B103,2026-09-09,09:00,52,60,High,86.66666666666667,High Load,Consider adding a bus,1,High Demand
R10,B105,2026-09-11,01:30,20,45,Medium,44.44444444444444,Low Load,Reduce bus frequency,0,Low Demand
R8,B110,2026-09-04,14:00,43,60,Low,71.66666666666667,Normal,No action required,2,Medium Demand
R10,B110,2026-09-06,13:30,30,55,Low,54.54545454545454,Normal,No action required,2,Medium Demand
R2,B108,2026-09-13,10:00,46,55,Medium,83.63636363636363,High Load,Consider adding a bus,1,High Demand
R5,B101,2026-09-07,02:00,41,55,Low,74.54545454545455,Normal,No action required,2,Medium Demand
R10,B116,2026-09-06,03:00,15,50,Medium,30.0,Low Load,Reduce bus frequency,0,Low Demand
R4,B120,2026-09-04,03:30,38,50,Medium,76.0,Normal,No action required,2,Medium Demand
R8,B102,2026-09-09,00:00,16,60,Medium,26.666666666666668,Low Load,Reduce bus frequency,0,Low Demand
R5,B111,2026-09-04,23:00,39,55,Low,70.9090909090909,Normal,No action required,2,Medium Demand
R9,B109,2026-09-06,17:00,46,45,High,102.22222222222221,Overloaded,Add additional bus immediately,1,High Demand
R5,B111,2026-09-11,05:00,17,40,High,42.5,Low Load,Reduce bus frequency,0,Low Demand
R7,B118,2026-09-03,03:30,16,50,Medium,32.0,Low Load,Reduce bus frequency,0,Low Demand
R9,B104,2026-09-09,02:00,28,55,Medium,50.90909090909091,Normal,No action required,0,Low Demand
R6,B104,2026-09-11,06:30,32,45,Low,71.11111111111111,Normal,No action required,2,Medium Demand
R9,B111,2026-09-05,22:30,30,60,Medium,50.0,Normal,No action required,0,Low Demand
R7,B104,2026-09-02,04:30,24,45,High,53.333333333333336,Normal,No action required,0,Low Demand
R8,B104,2026-09-06,05:30,9,40,Medium,22.5,Low Load,Reduce bus frequency,0,Low Demand
R9,B114,2026-09-04,12:30,37,60,Medium,61.66666666666667,Normal,No action required,2,Medium Demand
R8,B120,2026-09-07,04:30,19,55,Low,34.54545454545455,Low Load,Reduce bus frequency,0,Low Demand
R6,B104,2026-09-12,20:00,52,50,High,104.0,Overloaded,Add additional bus immediately,1,High Demand
R1,B113,2026-09-05,06:30,46,50,High,92.0,High Load,Consider adding a bus,1,High Demand
R4,B120,2026-09-02,07:00,31,40,High,77.5,Normal,No action required,2,Medium Demand
R3,B119,2026-09-02,16:30,25,45,Medium,55.55555555555556,Normal,No action required,0,Low Demand
R4,B111,2026-09-13,22:30,32,45,Low,71.11111111111111,Normal,No action required,2,Medium Demand
R3,B105,2026-09-06,13:30,25,60,Medium,41.66666666666667,Low Load,Reduce bus frequency,0,Low Demand
R6,B108,2026-09-08,03:00,23,60,Low,38.333333333333336,Low Load,Reduce bus frequency,0,Low Demand
R3,B114,2026-09-03,15:30,38,60,Medium,63.33333333333333,Normal,No action required,2,Medium Demand
R2,B115,2026-09-05,22:30,13,60,High,21.666666666666668,Low Load,Reduce bus frequency,0,Low Demand
R9,B110,2026-09-14,22:30,10,55,High,18.181818181818183,Low Load,Reduce bus frequency,0,Low Demand
R2,B116,2026-09-02,19:00,47,55,High,85.45454545454545,High Load,Consider adding a bus,1,High Demand
R3,B103,2026-09-07,02:00,30,45,Medium,66.66666666666666,Normal,No action required,2,Medium Demand
R10,B117,2026-09-10,21:30,23,50,Medium,46.0,Low Load,Reduce bus frequency,0,Low Demand
R2,B118,2026-09-10,09:30,34,45,High,75.55555555555556,Normal,No action required,2,Medium Demand
R7,B104,2026-09-10,08:00,48,50,Medium,96.0,High Load,Consider adding a bus,1,High Demand
R3,B116,2026-09-03,04:00,19,40,Medium,47.5,Low Load,Reduce bus frequency,0,Low Demand
R3,B118,2026-09-13,17:30,44,40,High,110.00000000000001,Overloaded,Add additional bus immediately,1,High Demand
R2,B114,2026-09-10,06:00,38,50,Medium,76.0,Normal,No action required,2,Medium Demand
R6,B104,2026-09-12,01:00,38,60,Low,63.33333333333333,Normal,No action required,2,Medium Demand
R4,B104,2026-09-13,02:00,31,50,Low,62.0,Normal,No action required,2,Medium Demand
R9,B120,2026-09-14,22:30,31,60,Medium,51.66666666666667,Normal,No action required,2,Medium Demand
R5,B101,2026-09-07,01:00,17,45,Medium,37.77777777777778,Low Load,Reduce bus frequency,0,Low Demand
R3,B119,2026-09-02,17:00,59,55,Medium,107.27272727272728,Overloaded,Add additional bus immediately,1,High Demand
R1,B103,2026-09-05,19:30,60,60,Medium,100.0,High Load,Consider adding a bus,1,High Demand
R6,B119,2026-09-03,00:30,23,60,Medium,38.333333333333336,Low Load,Reduce bus frequency,0,Low Demand
R10,B102,2026-09-07,00:30,18,40,Low,45.0,Low Load,Reduce bus frequency,0,Low Demand
R4,B117,2026-09-08,14:00,15,40,Low,37.5,Low Load,Reduce bus frequency,0,Low Demand
R10,B116,2026-09-07,19:00,52,60,Low,86.66666666666667,High Load,Consider adding a bus,1,High Demand
R5,B107,2026-09-06,16:00,12,45,Low,26.666666666666668,Low Load,Reduce bus frequency,0,Low Demand
R8,B114,2026-09-03,23:30,25,45,Low,55.55555555555556,Normal,No action required,0,Low Demand
R6,B103,2026-09-02,03:00,29,55,Low,52.72727272727272,Normal,No action required,2,Medium Demand
R2,B111,2026-09-10,09:00,60,60,High,100.0,High Load,Consider adding a bus,1,High Demand
R1,B111,2026-09-14,09:30,50,45,High,111.11111111111111,Overloaded,Add additional bus immediately,1,High Demand
R6,B103,2026-09-03,11:30,30,55,Low,54.54545454545454,Normal,No action required,2,Medium Demand
R5,B111,2026-09-08,08:00,30,45,High,66.66666666666666,Normal,No action required,2,Medium Demand
R2,B117,2026-09-05,08:30,51,60,High,85.0,High Load,Consider adding a bus,1,High Demand
R3,B108,2026-09-04,08:00,29,40,Medium,72.5,Normal,No action required,2,Medium Demand
R3,B103,2026-09-14,15:00,35,45,Low,77.77777777777779,Normal,No action required,2,Medium Demand
R10,B120,2026-09-14,14:30,22,50,Low,44.0,Low Load,Reduce bus frequency,0,Low Demand
R8,B115,2026-09-07,02:00,26,50,Medium,52.0,Normal,No action required,0,Low Demand
R1,B102,2026-09-07,08:00,60,50,Low,120.0,Overloaded,Add additional bus immediately,1,High Demand
R2,B120,2026-09-12,01:00,41,60,Low,68.33333333333333,Normal,No action required,2,Medium Demand
R1,B115,2026-09-15,03:00,40,60,Low,66.66666666666666,Normal,No action required,2,Medium Demand
R9,B105,2026-09-10,20:00,40,40,Medium,100.0,High Load,Consider adding a bus,1,High Demand
R9,B106,2026-09-06,12:00,36,40,Medium,90.0,High Load,Consider adding a bus,2,Medium Demand
R9,B117,2026-09-04,14:30,41,60,Low,68.33333333333333,Normal,No action required,2,Medium Demand
R10,B102,2026-09-02,15:00,33,50,Low,66.0,Normal,No action required,2,Medium Demand
R7,B110,2026-09-14,02:00,25,50,Medium,50.0,Normal,No action required,0,Low Demand
R6,B110,2026-09-03,23:30,44,55,Medium,80.0,High Load,Consider adding a bus,2,Medium Demand
R5,B118,2026-09-14,22:30,35,55,Medium,63.63636363636363,Normal,No action required,2,Medium Demand
R9,B103,2026-09-12,01:30,18,55,Low,32.72727272727273,Low Load,Reduce bus frequency,0,Low Demand
R3,B107,2026-09-11,14:00,48,50,Low,96.0,High Load,Consider adding a bus,1,High Demand
R2,B117,2026-09-12,11:00,29,60,Low,48.333333333333336,Low Load,Reduce bus frequency,0,Low Demand
R10,B105,2026-09-09,06:00,20,60,Low,33.33333333333333,Low Load,Reduce bus frequency,0,Low Demand
R3,B115,2026-09-09,23:30,27,40,Low,67.5,Normal,No action required,2,Medium Demand
R8,B120,2026-09-10,19:00,46,50,Medium,92.0,High Load,Consider adding a bus,1,High Demand
R4,B112,2026-09-10,15:00,24,60,Low,40.0,Low Load,Reduce bus frequency,0,Low Demand
R7,B117,2026-09-10,03:30,50,60,High,83.33333333333334,High Load,Consider adding a bus,1,High Demand
R5,B102,2026-09-09,03:30,13,55,Medium,23.636363636363637,Low Load,Reduce bus frequency,0,Low Demand
R9,B104,2026-09-03,00:00,20,50,Medium,40.0,Low Load,Reduce bus frequency,0,Low Demand
R7,B103,2026-09-10,20:00,53,45,High,117.77777777777779,Overloaded,Add additional bus immediately,1,High Demand
R7,B102,2026-09-11,22:30,33,55,Low,60.0,Normal,No action required,2,Medium Demand
R6,B104,2026-09-04,08:00,43,50,Medium,86.0,High Load,Consider adding a bus,1,High Demand
R8,B105,2026-09-10,19:00,63,55,High,114.54545454545455,Overloaded,Add additional bus immediately,1,High Demand
R3,B118,2026-09-12,11:30,48,60,Low,80.0,High Load,Consider adding a bus,1,High Demand
R4,B110,2026-09-02,05:30,25,40,Low,62.5,Normal,No action required,2,Medium Demand
R8,B120,2026-09-01,13:30,35,60,Medium,58.333333333333336,Normal,No action required,2,Medium Demand
R3,B110,2026-09-01,06:00,22,55,Medium,40.0,Low Load,Reduce bus frequency,0,Low Demand
R2,B117,2026-09-02,16:00,31,50,High,62.0,Normal,No action required,2,Medium Demand
R9,B118,2026-09-09,13:00,7,40,Medium,17.5,Low Load,Reduce bus frequency,0,Low Demand
R1,B112,2026-09-08,14:00,31,40,Low,77.5,Normal,No action required,2,Medium Demand
R2,B119,2026-09-04,01:30,30,50,Low,60.0,Normal,No action required,2,Medium Demand
R8,B116,2026-09-04,02:30,30,45,Low,66.66666666666666,Normal,No action required,2,Medium Demand
R8,B102,2026-09-05,12:30,25,50,Low,50.0,Normal,No action required,0,Low Demand
R9,B113,2026-09-11,07:30,61,60,Medium,101.66666666666666,Overloaded,Add additional bus immediately,1,High Demand
R4,B110,2026-09-02,05:30,24,50,Medium,48.0,Low Load,Reduce bus frequency,0,Low Demand
R7,B115,2026-09-08,11:00,37,55,High,67.27272727272727,Normal,No action required,2,Medium Demand
R8,B112,2026-09-06,22:00,45,60,Medium,75.0,Normal,No action required,2,Medium Demand
R3,B118,2026-09-08,01:30,28,50,Low,56.00000000000001,Normal,No action required,2,Medium Demand
R5,B110,2026-09-14,02:00,13,55,Medium,23.636363636363637,Low Load,Reduce bus frequency,0,Low Demand
R6,B120,2026-09-07,02:00,41,55,Medium,74.54545454545455,Normal,No action required,2,Medium Demand
R1,B103,2026-09-08,23:30,43,55,Medium,78.18181818181819,Normal,No action required,2,Medium Demand
R10,B115,2026-09-03,22:00,29,40,Low,72.5,Normal,No action required,2,Medium Demand
R6,B112,2026-09-13,07:30,40,55,Low,72.72727272727273,Normal,No action required,2,Medium Demand
R8,B103,2026-09-04,03:30,30,60,Medium,50.0,Normal,No action required,0,Low Demand
R5,B108,2026-09-01,18:30,32,40,High,80.0,High Load,Consider adding a bus,2,Medium Demand
R5,B109,2026-09-05,19:00,45,55,High,81.81818181818183,High Load,Consider adding a bus,1,High Demand
R8,B107,2026-09-04,02:30,23,40,Medium,57.49999999999999,Normal,No action required,0,Low Demand
R2,B111,2026-09-02,14:30,19,50,Medium,38.0,Low Load,Reduce bus frequency,0,Low Demand
R5,B106,2026-09-08,22:30,13,45,Medium,28.888888888888886,Low Load,Reduce bus frequency,0,Low Demand
R8,B101,2026-09-13,01:00,28,50,Medium,56.00000000000001,Normal,No action required,2,Medium Demand
R9,B105,2026-09-03,01:30,26,60,Low,43.333333333333336,Low Load,Reduce bus frequency,0,Low Demand
R7,B114,2026-09-02,19:00,52,60,Medium,86.66666666666667,High Load,Consider adding a bus,1,High Demand
R2,B115,2026-09-12,06:00,44,55,Low,80.0,High Load,Consider adding a bus,2,Medium Demand
R3,B105,2026-09-11,22:30,16,55,High,29.09090909090909,Low Load,Reduce bus frequency,0,Low Demand
R2,B117,2026-09-07,17:00,37,45,Medium,82.22222222222221,High Load,Consider adding a bus,2,Medium Demand
R9,B110,2026-09-06,13:30,28,40,Low,70.0,Normal,No action required,2,Medium Demand
R5,B105,2026-09-14,08:00,47,50,High,94.0,High Load,Consider adding a bus,1,High Demand
R3,B106,2026-09-14,03:00,59,60,Low,98.33333333333333,High Load,Consider adding a bus,1,High Demand
R1,B101,2026-09-02,04:30,32,40,High,80.0,High Load,Consider adding a bus,2,Medium Demand
R10,B114,2026-09-14,20:30,49,60,Low,81.66666666666667,High Load,Consider adding a bus,1,High Demand
R9,B110,2026-09-11,12:30,31,50,Low,62.0,Normal,No action required,2,Medium Demand
R1,B106,2026-09-10,02:00,27,55,Low,49.09090909090909,Low Load,Reduce bus frequency,0,Low Demand
R10,B105,2026-09-08,00:30,40,50,Medium,80.0,High Load,Consider adding a bus,2,Medium Demand
R6,B117,2026-09-03,11:30,32,60,Low,53.333333333333336,Normal,No action required,2,Medium Demand
R5,B115,2026-09-04,05:30,14,45,Low,31.11111111111111,Low Load,Reduce bus frequency,0,Low Demand
R4,B106,2026-09-13,13:00,21,50,Medium,42.0,Low Load,Reduce bus frequency,0,Low Demand
R3,B116,2026-09-11,04:30,38,60,Low,63.33333333333333,Normal,No action required,2,Medium Demand
R9,B115,2026-09-05,19:30,31,45,High,68.88888888888889,Normal,No action required,2,Medium Demand
R5,B116,2026-09-15,04:00,24,60,Medium,40.0,Low Load,Reduce bus frequency,0,Low Demand
R3,B109,2026-09-09,19:30,48,50,Medium,96.0,High Load,Consider adding a bus,1,High Demand
R10,B118,2026-09-08,23:00,8,45,Medium,17.77777777777778,Low Load,Reduce bus frequency,0,Low Demand
R5,B120,2026-09-03,18:00,41,60,Medium,68.33333333333333,Normal,No action required,2,Medium Demand
R6,B111,2026-09-09,00:30,19,60,Medium,31.666666666666664,Low Load,Reduce bus frequency,0,Low Demand
